millis,frequency
7057567,4.65777
7058567,4.648784
7059567,4.676044
7060567,4.636413
7061567,4.682152
7062567,4.691048
7063567,4.651834
7064567,4.688145
7065567,4.710404
7066567,4.662439
7067567,4.669668
7068567,4.69008
7069567,4.648979
7070567,4.640501
7071567,4.628944
7072567,4.691202
7073567,4.619706
7074567,4.623529
7075567,4.673378
7076567,4.672701
7077567,4.618148
7078567,4.617231
7079567,4.621435
7080567,4.667466
7081567,4.637681
7082567,4.643733
7083567,4.624278
7084567,4.598187
7085567,4.627295
7086567,4.599605
7087567,4.677072
7088567,4.664288
7089567,4.657141
7090567,4.665594
7091567,4.587556
7092567,4.659637
7093567,4.698365
7094567,4.625818
7095567,4.728356
7096567,4.685179
7097567,4.696181
7098567,4.635402
7099567,4.638499
7100567,4.622695
7101567,4.680443
7102567,4.64438
7103567,4.655559
7104567,4.674535
7105567,4.691906
7106567,4.715802
7107567,4.651963
7108567,4.683007
7109567,4.715068
7110567,4.714379
7111567,4.677422
7112567,4.711203
7113567,4.68281
7114567,4.686541
7115567,4.682634
7116567,4.746062
7117567,4.670387
7118567,4.667292
7119567,4.733526
7120567,4.682656
7121567,4.625026
7122567,4.638542
7123567,4.64993
7124567,4.770423
7125567,4.735476
7126567,4.672395
7127567,4.651617
7128567,4.624299
7129567,4.70493
7130567,4.687881
7131567,4.79182
7132567,4.683775
7133567,4.670017
7134567,4.699999
7135567,4.663679
7136567,4.664614
7137567,4.61144
7138567,4.693359
7139567,4.668142
7140567,4.733011
7141567,4.660115
7142567,4.673749
7143567,4.638112
7144567,4.684719
7145567,4.658964
7146567,4.656664
7147567,4.663701
7148567,4.628023
7149567,4.695144
7150567,4.673268
7151567,4.660527
7152567,4.704665
7153567,4.650189
7154567,4.692941
7155567,4.639661
7156567,4.661809
7157567,4.713313
7158567,4.684323
7159567,4.665681
7160567,4.636584
7161567,4.667902
7162567,4.697813
7163567,4.694263
7164567,4.711914
7165567,4.683775
7166567,4.641384
7167567,4.738752
7168567,4.640608
7169567,4.653565
7170567,4.65415
7171567,4.680421
7172567,4.681429
7173567,4.656664
7174567,4.631195
7175567,4.631195
7176567,4.675301
7177567,4.657662
7178567,4.673509
7179567,4.687419
7180567,4.764264
7181567,4.660136
7182567,4.658508
7183567,4.66873
7184567,4.673399
7185567,4.667249
7186567,4.697438
7187567,4.724246
7188567,4.686409
7189567,4.645696
7190567,4.727507
7191567,4.729653
7192567,4.724
7193567,4.737338
7194567,4.713024
7195567,4.697769
7196567,4.665354
7197567,4.732384
7198567,4.717293
7199567,4.662157
7200567,4.681056
7201567,4.635531
7202567,4.677006
7203567,4.764582
7204567,4.647272
7205567,4.70117
7206567,4.732272
7207567,4.656339
7208567,4.627423
7209567,4.659963
7210567,4.764991
7211567,4.677487
7212567,4.687068
7213567,4.675104
7214567,4.687683
7215567,4.681823
7216567,4.72735
7217567,4.748744
7218567,4.656382
7219567,4.677334
7220567,4.710782
7221567,4.714135
7222567,4.725875
7223567,4.669319
7224567,4.714224
7225567,4.687046
7226567,4.695299
7227567,4.71963
7228567,4.763561
7229567,4.723755
7230567,4.713579
7231567,4.693448
7232567,4.747369
7233567,4.700353
7234567,4.672919
7235567,4.738752
7236567,4.684631
7237567,4.717715
7238567,4.702408
7239567,4.758121
7240567,4.736979
7241567,4.725898
7242567,4.668468
7243567,4.716514
7244567,4.738258
7245567,4.703116
7246567,4.731667
7247567,4.69118
7248567,4.705218
7249567,4.685662
7250567,4.672613
7251567,4.70493
7252567,4.779429
7253567,4.738528
7254567,4.715913
7255567,4.720521
7256567,4.721703
7257567,4.720455
7258567,4.729765
7259567,4.701767
7260567,4.733325
7261567,4.683139
7262567,4.699712
7263567,4.717448
7264567,4.704333
7265567,4.719296
7266567,4.725741
7267567,4.717894
7268567,4.721302
7269567,4.765286
7270567,4.73066
7271567,4.71845
7272567,4.727328
7273567,4.684609
7274567,4.711891
7275567,4.814706
7276567,4.777694
7277567,4.748722
7278567,4.712424
7279567,4.719385
7280567,4.700375
7281567,4.722149
7282567,4.805775
7283567,4.715958
7284567,4.731488
7285567,4.68496
7286567,4.708386
7287567,4.680421
7288567,4.693051
7289567,4.760341
7290567,4.755949
7291567,4.686255
7292567,4.696489
7293567,4.71309
7294567,4.70524
7295567,4.738371
7296567,4.765967
7297567,4.692324
7298567,4.747459
7299567,4.693183
7300567,4.691224
7301567,4.702055
7302567,4.728803
7303567,4.764786
7304567,4.719831
7305567,4.72313
7306567,4.723487
7307567,4.795611
7308567,4.780709
7309567,4.793611
7310567,4.71087
7311567,4.683972
7312567,4.751474
7313567,4.719875
7314567,4.719987
7315567,4.687266
7316567,4.672657
7317567,4.719452
7318567,4.776849
7319567,4.730347
7320567,4.759615
7321567,4.69217
7322567,4.695012
7323567,4.743045
7324567,4.771926
7325567,4.683578
7326567,4.740662
7327567,4.715269
7328567,4.700684
7329567,4.73449
7330567,4.731219
7331567,4.708985
7332567,4.719965
7333567,4.721012
7334567,4.720477
7335567,4.655342
7336567,4.69488
7337567,4.739606
7338567,4.748135
7339567,4.730436
7340567,4.715825
7341567,4.731443
7342567,4.761429
7343567,4.755677
7344567,4.721859
7345567,4.70451
7346567,4.701413
7347567,4.731108
7348567,4.726769
7349567,4.701391
7350567,4.69369
7351567,4.678494
7352567,4.718071
7353567,4.703315
7354567,4.736912
7355567,4.710782
7356567,4.801183
7357567,4.730884
7358567,4.734759
7359567,4.758981
7360567,4.743405
7361567,4.718829
7362567,4.698806
7363567,4.736351
7364567,4.722595
7365567,4.736957
7366567,4.664984
7367567,4.697239
7368567,4.710649
7369567,4.768194
7370567,4.777876
7371567,4.729049
7372567,4.776484
7373567,4.730682
7374567,4.766717
7375567,4.77081
7376567,4.760386
7377567,4.71558
7378567,4.75794
7379567,4.727752
7380567,4.739494
7381567,4.741539
7382567,4.776051
7383567,4.755745
7384567,4.711048
7385567,4.714268
7386567,4.711936
7387567,4.726367
7388567,4.705462
7389567,4.753891
7390567,4.711736
7391567,4.704908
7392567,4.705218
7393567,4.750978
7394567,4.685399
7395567,4.751745
7396567,4.676328
7397567,4.70117
7398567,4.748947
7399567,4.738371
7400567,4.774637
7401567,4.699844
7402567,4.734131
7403567,4.697328
7404567,4.750707
7405567,4.740752
7406567,4.718851
7407567,4.689486
7408567,4.720833
7409567,4.750549
7410567,4.733728
7411567,4.710626
7412567,4.749759
7413567,4.711891
7414567,4.778904
7415567,4.762426
7416567,4.729743
7417567,4.732429
7418567,4.738461
7419567,4.794186
7420567,4.746558
7421567,4.771653
7422567,4.761859
7423567,4.728199
7424567,4.715269
7425567,4.746963
7426567,4.729116
7427567,4.762676
7428567,4.76699
7429567,4.79782
7430567,4.727596
7431567,4.69596
7432567,4.783476
7433567,4.724982
7434567,4.811972
7435567,4.79828
7436567,4.74363
7437567,4.734221
7438567,4.706104
7439567,4.726769
7440567,4.739269
7441567,4.775663
7442567,4.764174
7443567,4.733504
7444567,4.793519
7445567,4.764219
7446567,4.781966
7447567,4.772495
7448567,4.815378
7449567,4.805151
7450567,4.72177
7451567,4.763152
7452567,4.795335
7453567,4.789639
7454567,4.724804
7455567,4.723286
7456567,4.70781
7457567,4.793266
7458567,4.820671
7459567,4.786567
7460567,4.723643
7461567,4.72668
7462567,4.760137
7463567,4.755677
7464567,4.769354
7465567,4.747842
7466567,4.749308
7467567,4.767535
7468567,4.767148
7469567,4.822438
7470567,4.713891
7471567,4.739449
7472567,4.755451
7473567,4.761497
7474567,4.780275
7475567,4.772017
7476567,4.801852
7477567,4.741741
7478567,4.728736
7479567,4.792922
7480567,4.756876
7481567,4.774728
7482567,4.742731
7483567,4.773953
7484567,4.72697
7485567,4.797267
7486567,4.766922
7487567,4.791957
7488567,4.792577
7489567,4.782515
7490567,4.815239
7491567,4.796554
7492567,4.778036
7493567,4.790511
7494567,4.806237
7495567,4.747346
7496567,4.840271
7497567,4.812296
7498567,4.806052
7499567,4.80282
7500567,4.803813
7501567,4.763243
7502567,4.740707
7503567,4.790878
7504567,4.749985
7505567,4.807091
7506567,4.790328
7507567,4.792302
7508567,4.748789
7509567,4.770833
7510567,4.825649
7511567,4.825021
7512567,4.817745
7513567,4.782996
7514567,4.777283
7515567,4.753914
7516567,4.769126
7517567,4.834047
7518567,4.792577
7519567,4.724
7520567,4.790488
7521567,4.747662
7522567,4.793588
7523567,4.805243
7524567,4.800952
7525567,4.795749
7526567,4.745814
7527567,4.754275
7528567,4.713868
7529567,4.771857
7530567,4.797958
7531567,4.797175
7532567,4.805613
7533567,4.743316
7534567,4.777511
7535567,4.768239
7536567,4.819347
7537567,4.771402
7538567,4.783224
7539567,4.728982
7540567,4.80063
7541567,4.802936
7542567,4.798419
7543567,4.741022
7544567,4.773156
7545567,4.736104
7546567,4.809866
7547567,4.812713
7548567,4.772677
7549567,4.773475
7550567,4.765786
7551567,4.75466
7552567,4.74622
7553567,4.728088
7554567,4.746085
7555567,4.841841
7556567,4.77327
7557567,4.789364
7558567,4.777397
7559567,4.807045
7560567,4.77286
7561567,4.817698
7562567,4.835169
7563567,4.752174
7564567,4.696666
7565567,4.783476
7566567,4.836689
7567567,4.808039
7568567,4.739359
7569567,4.779201
7570567,4.798787
7571567,4.796255
7572567,4.817025
7573567,4.757782
7574567,4.746941
7575567,4.742303
7576567,4.876051
7577567,4.780663
7578567,4.771721
7579567,4.77188
7580567,4.809103
7581567,4.759661
7582567,4.810653
7583567,4.801391
7584567,4.807415
7585567,4.789708
7586567,4.789478
7587567,4.76849
7588567,4.77507
7589567,4.798027
7590567,4.814173
7591567,4.805936
7592567,4.791452
7593567,4.761973
7594567,4.772267
7595567,4.763538
7596567,4.811996
7597567,4.772518
7598567,4.810259
7599567,4.781143
7600567,4.724447
7601567,4.832762
7602567,4.768353
7603567,4.776553
7604567,4.784986
7605567,4.758709
7606567,4.780572
7607567,4.859937
7608567,4.803651
7609567,4.806491
7610567,4.786315
7611567,4.771994
7612567,4.782264
7613567,4.734871
7614567,4.749331
7615567,4.80402
7616567,4.749624
7617567,4.701104
7618567,4.786796
7619567,4.762336
7620567,4.784735
7621567,4.745679
7622567,4.7531
7623567,4.766603
7624567,4.785238
7625567,4.720388
7626567,4.757374
7627567,4.716714
7628567,4.729049
7629567,4.808547
7630567,4.73772
7631567,4.718317
7632567,4.788378
7633567,4.742168
7634567,4.790213
7635567,4.768445
7636567,4.724402
7637567,4.787621
7638567,4.769354
7639567,4.783522
7640567,4.761973
7641567,4.807438
7642567,4.76524
7643567,4.803928
7644567,4.743361
7645567,4.788905
7646567,4.753936
7647567,4.746287
7648567,4.715335
7649567,4.767717
7650567,4.692787
7651567,4.78311
7652567,4.764923
7653567,4.76347
7654567,4.759865
7655567,4.747977
7656567,4.726836
7657567,4.714557
7658567,4.81459
7659567,4.785742
7660567,4.748789
7661567,4.763357
7662567,4.878001
7663567,4.730414
7664567,4.769536
7665567,4.726523
7666567,4.771857
7667567,4.801298
7668567,4.821601
7669567,4.760227
7670567,4.726166
7671567,4.810282
7672567,4.89031
7673567,4.781394
7674567,4.765172
7675567,4.758778
7676567,4.750436
7677567,4.75371
7678567,4.736059
7679567,4.767035
7680567,4.780115
7681567,4.802197
7682567,4.760862
7683567,4.755338
7684567,4.787484
7685567,4.83552
7686567,4.754162
7687567,4.78533
7688567,4.776211
7689567,4.723286
7690567,4.728736
7691567,4.717871
7692567,4.741764
7693567,4.790855
7694567,4.789983
7695567,4.751813
7696567,4.73393
7697567,4.74809
7698567,4.808085
7699567,4.781029
7700567,4.76313
7701567,4.752558
7702567,4.750865
7703567,4.792164
7704567,4.764037
7705567,4.798303
7706567,4.757691
7707567,4.800999
7708567,4.75021
7709567,4.76322
7710567,4.854605
7711567,4.772837
7712567,4.818023
7713567,4.825486
7714567,4.755813
7715567,4.79035
7716567,4.836291
7717567,4.839123
7718567,4.821368
7719567,4.747955
7720567,4.766967
7721567,4.78144
7722567,4.783636
7723567,4.740572
7724567,4.774432
7725567,4.745837
7726567,4.775025
7727567,4.796462
7728567,4.792577
7729567,4.831315
7730567,4.827187
7731567,4.734176
7732567,4.76347
7733567,4.854675
7734567,4.81144
7735567,4.764309
7736567,4.838702
7737567,4.819161
7738567,4.72811
7739567,4.825114
7740567,4.790718
7741567,4.841396
7742567,4.770287
7743567,4.802036
7744567,4.798326
7745567,4.775754
7746567,4.825044
7747567,4.795151
7748567,4.795473
7749567,4.795197
7750567,4.718873
7751567,4.75631
7752567,4.776872
7753567,4.812737
7754567,4.772153
7755567,4.821949
7756567,4.780046
7757567,4.79545
7758567,4.778036
7759567,4.747775
7760567,4.778516
7761567,4.802313
7762567,4.794645
7763567,4.793565
7764567,4.853168
7765567,4.769445
7766567,4.790006
7767567,4.812899
7768567,4.775321
7769567,4.774455
7770567,4.798027
7771567,4.838304
7772567,4.781783
7773567,4.828142
7774567,4.783888
7775567,4.821066
7776567,4.837719
7777567,4.816468
7778567,4.815773
7779567,4.792394
7780567,4.815146
7781567,4.788424
7782567,4.778562
7783567,4.807738
7784567,4.779407
7785567,4.781829
7786567,4.784391
7787567,4.743563
7788567,4.802036
7789567,4.885508
7790567,4.777283
7791567,4.803535
7792567,4.764355
7793567,4.785811
7794567,4.766126
7795567,4.782058
7796567,4.785147
7797567,4.813315
7798567,4.758461
7799567,4.807323
7800567,4.786819
7801567,4.840248
7802567,4.826115
7803567,4.80619
7804567,4.813686
7805567,4.824741
7806567,4.817234
7807567,4.746535
7808567,4.848743
7809567,4.810514
7810567,4.807022
7811567,4.844398
7812567,4.831595
7813567,4.796301
7814567,4.835052
7815567,4.745454
7816567,4.817281
7817567,4.799386
7818567,4.835917
7819567,4.829192
7820567,4.856278
7821567,4.808756
7822567,4.798971
7823567,4.775139
7824567,4.808756
7825567,4.773315
7826567,4.801252
7827567,4.808547
7828567,4.844046
7829567,4.795841
7830567,4.791911
7831567,4.784597
7832567,4.821833
7833567,4.822996
7834567,4.828142
7835567,4.826628
7836567,4.833977
7837567,4.859559
7838567,4.791268
7839567,4.739202
7840567,4.816561
7841567,4.762064
7842567,4.808132
7843567,4.784208
7844567,4.77188
7845567,4.86945
7846567,4.822531
7847567,4.78414
7848567,4.80686
7849567,4.816654
7850567,4.817513
7851567,4.813547
7852567,4.803882
7853567,4.776712
7854567,4.783133
7855567,4.776576
7856567,4.851943
7857567,4.864357
7858567,4.808155
7859567,4.733257
7860567,4.814474
7861567,4.789318
7862567,4.811162
7863567,4.816561
7864567,4.788378
7865567,4.774842
7866567,4.793335
7867567,4.879239
7868567,4.778424
7869567,4.82188
7870567,4.832062
7871567,4.780343
7872567,4.873128
7873567,4.803282
7874567,4.766467
7875567,4.79499
7876567,4.800975
7877567,4.815912
7878567,4.77015
7879567,4.792968
7880567,4.762403
7881567,4.824183
7882567,4.816445
7883567,4.840622
7884567,4.788538
7885567,4.804966
7886567,4.71727
7887567,4.756356
7888567,4.78785
7889567,4.787231
7890567,4.803189
7891567,4.783087
7892567,4.757646
7893567,4.742371
7894567,4.780183
7895567,4.798695
7896567,4.760794
7897567,4.792623
7898567,4.807993
7899567,4.797498
7900567,4.772655
7901567,4.817675
7902567,4.780938
7903567,4.751429
7904567,4.805336
7905567,4.847451
7906567,4.74685
7907567,4.792462
7908567,4.742213
7909567,4.822345
7910567,4.771607
7911567,4.796048
7912567,4.890526
7913567,4.803282
7914567,4.796002
7915567,4.921962
7916567,4.788286
7917567,4.732585
7918567,4.779589
7919567,4.798372
7920567,4.800423
7921567,4.789731
7922567,4.811509
7923567,4.768808
7924567,4.804389
7925567,4.834094
7926567,4.838
7927567,4.809565
7928567,4.860007
7929567,4.784369
7930567,4.783888
7931567,4.784185
7932567,4.841935
7933567,4.823322
7934567,4.794094
7935567,4.888709
7936567,4.770924
7937567,4.83531
7938567,4.863056
7939567,4.787415
7940567,4.800906
7941567,4.81269
7942567,4.821717
7943567,4.789914
7944567,4.822531
7945567,4.824322
7946567,4.844867
7947567,4.837414
7948567,4.785513
7949567,4.779635
7950567,4.822205
7951567,4.880429
7952567,4.791796
7953567,4.838515
7954567,4.780755
7955567,4.805567
7956567,4.840458
7957567,4.820323
7958567,4.829681
7959567,4.801529
7960567,4.885818
7961567,4.800999
7962567,4.788813
7963567,4.827676
7964567,4.78064
7965567,4.878168
7966567,4.789593
7967567,4.837508
7968567,4.84959
7969567,4.804089
7970567,4.753191
7971567,4.785651
7972567,4.792715
7973567,4.783773
7974567,4.800745
7975567,4.754637
7976567,4.805382
7977567,4.820741
7978567,4.806144
7979567,4.75665
7980567,4.714713
7981567,4.807345
7982567,4.796991
7983567,4.767899
7984567,4.784872
7985567,4.757917
7986567,4.776211
7987567,4.818929
7988567,4.830241
7989567,4.757759
7990567,4.795565
7991567,4.711247
7992567,4.782561
7993567,4.735589
7994567,4.700772
7995567,4.88945
7996567,4.77286
7997567,4.822717
7998567,4.742753
7999567,4.734378
8000567,4.713579
8001567,4.720187
8002567,4.757306
8003567,4.757261
8004567,4.831385
8005567,4.771288
8006567,4.709229
8007567,4.777876
8008567,4.772199
8009567,4.809426
8010567,4.755677
8011567,4.712136
8012567,4.698255
8013567,4.72119
8014567,4.742438
8015567,4.751023
8016567,4.758596
8017567,4.752151
8018567,4.748383
8019567,4.751948
8020567,4.770469
8021567,4.785948
8022567,4.741471
8023567,4.799109
8024567,4.720031
8025567,4.815216
8026567,4.757646
8027567,4.705329
8028567,4.728468
8029567,4.773589
8030567,4.765127
8031567,4.854534
8032567,4.810653
8033567,4.810838
8034567,4.785262
8035567,4.779727
8036567,4.785788
8037567,4.795036
8038567,4.770469
8039567,4.813617
8040567,4.778402
8041567,4.781281
8042567,4.760001
8043567,4.798994
8044567,4.791567
8045567,4.751926
8046567,4.745837
8047567,4.778539
8048567,4.737563
8049567,4.753032
8050567,4.759208
8051567,4.749691
8052567,4.750707
8053567,4.749894
8054567,4.77409
8055567,4.792072
8056567,4.814984
8057567,4.804528
8058567,4.779338
8059567,4.830591
8060567,4.836502
8061567,4.854958
8062567,4.82551
8063567,4.761361
8064567,4.790144
8065567,4.783636
8066567,4.805567
8067567,4.774933
8068567,4.742978
8069567,4.755654
8070567,4.817072
8071567,4.763878
8072567,4.831105
8073567,4.808085
8074567,4.745814
8075567,4.753914
8076567,4.788446
8077567,4.806768
8078567,4.792531
8079567,4.794485
8080567,4.787713
8081567,4.755813
8082567,4.784025
8083567,4.820253
8084567,4.772336
8085567,4.789295
8086567,4.765899
8087567,4.78808
8088567,4.74037
8089567,4.824253
8090567,4.794438
8091567,4.836362
8092567,4.804551
8093567,4.771653
8094567,4.750617
8095567,4.750797
8096567,4.839709
8097567,4.82081
8098567,4.783476
8099567,4.843201
8100567,4.802774
8101567,4.751994
8102567,4.82749
8103567,4.773156
8104567,4.750842
8105567,4.748451
8106567,4.796071
8107567,4.783522
8108567,4.782515
8109567,4.775458
8110567,4.77466
8111567,4.794116
8112567,4.792003
8113567,4.792945
8114567,4.79453
8115567,4.894236
8116567,4.793496
8117567,4.80982
8118567,4.752084
8119567,4.746738
8120567,4.808316
8121567,4.762926
8122567,4.852531
8123567,4.79136
8124567,4.804228
8125567,4.793335
8126567,4.817188
8127567,4.825417
8128567,4.744148
8129567,4.710649
8130567,4.77311
8131567,4.802982
8132567,4.803189
8133567,4.733437
8134567,4.742033
8135567,4.809588
8136567,4.781052
8137567,4.784185
8138567,4.768967
8139567,4.785032
8140567,4.761383
8141567,4.826791
8142567,4.726523
8143567,4.777557
8144567,4.777648
8145567,4.827326
8146567,4.845501
8147567,4.778698
8148567,4.740145
8149567,4.82016
8150567,4.823904
8151567,4.81415
8152567,4.734804
8153567,4.769672
8154567,4.813223
8155567,4.779772
8156567,4.850978
8157567,4.790144
8158567,4.792761
8159567,4.788997
8160567,4.766081
8161567,4.756559
8162567,4.814242
8163567,4.830288
8164567,4.746355
8165567,4.803535
8166567,4.763243
8167567,4.827863
8168567,4.814266
8169567,4.824578
8170567,4.814753
8171567,4.799778
8172567,4.766626
8173567,4.777328
8174567,4.797843
8175567,4.721591
8176567,4.839357
8177567,4.817211
8178567,4.791682
8179567,4.785811
8180567,4.761292
8181567,4.839264
8182567,4.843647
8183567,4.811208
8184567,4.843366
8185567,4.781303
8186567,4.828002
8187567,4.785468
8188567,4.866014
8189567,4.782904
8190567,4.801275
8191567,4.742348
8192567,4.808802
8193567,4.794806
8194567,4.787942
8195567,4.805336
8196567,4.801575
8197567,4.772905
8198567,4.81575
8199567,4.821345
8200567,4.80626
8201567,4.93754
8202567,4.9343
8203567,4.94506
8204567,4.957023
8205567,4.899223
8206567,4.917412
8207567,4.914898
8208567,4.979361
8209567,4.925793
8210567,4.926569
8211567,4.959383
8212567,4.964233
8213567,4.911519
8214567,4.955647
8215567,4.915188
8216567,4.941078
8217567,4.965515
8218567,4.943569
8219567,4.97055
8220567,4.881716
8221567,4.924604
8222567,4.906988
8223567,4.940272
8224567,4.936127
8225567,4.901336
8226567,4.917146
8227567,4.986909
8228567,4.97604
8229567,4.976684
8230567,4.942103
8231567,4.911664
8232567,4.988427
8233567,4.955401
8234567,4.911157
8235567,4.930408
8236567,4.941932
8237567,4.986138
8238567,4.931818
8239567,4.975545
8240567,4.960908
8241567,4.936053
8242567,4.895026
8243567,4.92395
8244567,4.951034
8245567,4.872772
8246567,4.929629
8247567,4.963789
8248567,4.911278
8249567,4.976263
8250567,4.900207
8251567,4.9185
8252567,4.942811
8253567,4.884243
8254567,4.921623
8255567,4.993359
8256567,4.920291
8257567,4.888995
8258567,4.91896
8259567,4.909855
8260567,4.914705
8261567,4.859441
8262567,4.892272
8263567,4.907614
8264567,4.865422
8265567,4.935566
8266567,4.922713
8267567,4.942396
8268567,4.895649
8269567,4.855123
8270567,4.87993
8271567,4.861874
8272567,4.842662
8273567,4.946186
8274567,4.956875
8275567,4.862986
8276567,4.891531
8277567,4.92822
8278567,4.897327
8279567,4.912219
8280567,4.946234
8281567,4.886033
8282567,4.899535
8283567,4.904798
8284567,4.867293
8285567,4.878596
8286567,4.854228
8287567,4.916082
8288567,4.877264
8289567,4.908843
8290567,4.905327
8291567,4.92946
8292567,4.910506
8293567,4.900231
8294567,4.915962
8295567,4.909036
8296567,4.926278
8297567,4.893589
8298567,4.900808
8299567,4.935469
8300567,4.909132
8301567,4.958375
8302567,4.933959
8303567,4.8862
8304567,4.840904
8305567,4.888541
8306567,4.910386
8307567,4.893924
8308567,4.941468
8309567,4.929265
8310567,4.847756
8311567,4.924871
8312567,4.888231
8313567,4.938125
8314567,4.91514
8315567,4.86689
8316567,4.952015
8317567,4.921623
8318567,4.953511
8319567,4.929702
8320567,4.943838
8321567,4.932182
8322567,4.926909
8323567,4.91473
8324567,4.891411
8325567,4.928075
8326567,4.953806
8327567,4.916059
8328567,4.910626
8329567,4.861212
8330567,4.911374
8331567,4.900135
8332567,4.918694
8333567,4.91328
8334567,4.831968
8335567,4.860244
8336567,4.871585
8337567,4.882574
8338567,4.864215
8339567,4.829751
8340567,4.871466
8341567,4.879072
8342567,4.875052
8343567,4.879643
8344567,4.818836
8345567,4.870138
8346567,4.900928
8347567,4.874031
8348567,4.866748
8349567,4.919541
8350567,4.892272
8351567,4.896057
8352567,4.898551
8353567,4.867222
8354567,4.904076
8355567,4.88694
8356567,4.874815
8357567,4.904004
8358567,4.854275
8359567,4.916421
8360567,4.871205
8361567,4.911374
8362567,4.884697
8363567,4.864759
8364567,4.889928
8365567,4.880501
8366567,4.818441
8367567,4.879144
8368567,4.878382
8369567,4.894308
8370567,4.873508
8371567,4.878667
8372567,4.869948
8373567,4.899055
8374567,4.812991
8375567,4.882836
8376567,4.886153
8377567,4.941444
8378567,4.870209
8379567,4.889019
8380567,4.827932
8381567,4.851543
8382567,4.891746
8383567,4.902994
8384567,4.935347
8385567,4.870422
8386567,4.854322
8387567,4.887299
8388567,4.870826
8389567,4.902177
8390567,4.914295
8391567,4.861189
8392567,4.86727
8393567,4.858662
8394567,4.84475
8395567,4.899943
8396567,4.904004
8397567,4.897592
8398567,4.854369
8399567,4.898431
8400567,4.904654
8401567,4.870731
8402567,4.843342
8403567,4.87812
8404567,4.891315
8405567,4.844069
8406567,4.862844
8407567,4.89668
8408567,4.863553
8409567,4.855052
8410567,4.845196
8411567,4.881025
8412567,4.923368
8413567,4.847474
8414567,4.800515
8415567,4.850602
8416567,4.834842
8417567,4.91
8418567,4.884315
8419567,4.861851
8420567,4.864689
8421567,4.865849
8422567,4.871941
8423567,4.863719
8424567,4.882503
8425567,4.828959
8426567,4.8968
8427567,4.862323
8428567,4.867507
8429567,4.859417
8430567,4.852461
8431567,4.915164
8432567,4.917267
8433567,4.85793
8434567,4.90694
8435567,4.849614
8436567,4.838187
8437567,4.908168
8438567,4.876859
8439567,4.848461
8440567,4.854157
8441567,4.87812
8442567,4.864878
8443567,4.87993
8444567,4.902417
8445567,4.886105
8446567,4.841396
8447567,4.867175
8448567,4.888971
8449567,4.875789
8450567,4.875385
8451567,4.876764
8452567,4.861827
8453567,4.856231
8454567,4.878787
8455567,4.855996
8456567,4.877073
8457567,4.87981
8458567,4.847122
8459567,4.925866
8460567,4.889904
8461567,4.829915
8462567,4.915648
8463567,4.905544
8464567,4.867957
8465567,4.86204
8466567,4.821508
8467567,4.856821
8468567,4.893996
8469567,4.906266
8470567,4.934178
8471567,4.938004
8472567,4.885102
8473567,4.853238
